optimization,duration (ms)
default,91555
default,94193
default,91588
default,91752
default,94211
default,95209
default,93868
default,92384
default,92029
default,93614
default,93048
decimalgamma,103281
decimalgamma,100348
decimalgamma,101720
decimalgamma,101520
decimalgamma,103796
decimalgamma,102678
decimalgamma,103306
decimalgamma,102612
decimalgamma,101827
decimalgamma,104442
decimalgamma,100002
decimalgamma-loose,99238
decimalgamma-loose,98562
decimalgamma-loose,99250
decimalgamma-loose,101416
