optimization,duration (ms)
decimalgamma,100374
decimalgamma,97344
decimalgamma,98220
decimalgamma,100860
decimalgamma,97765
decimalgamma,99514
decimalgamma,95725
decimalgamma,99908
decimalgamma,97520
decimalgamma,99260
decimalgamma,98344
decimalgamma-loose,96432
decimalgamma-loose,96149
decimalgamma-loose,97068
decimalgamma-loose,96447
decimalgamma-loose,98886
decimalgamma-loose,96846
decimalgamma-loose,96301
decimalgamma-loose,97723
decimalgamma-loose,100849
decimalgamma-loose,98176
decimalgamma-loose,98365
default,90747
default,90491
default,92239
default,94407
default,91517
default,90591
default,89140
default,94041
default,89910
default,91105
default,92855
