optimization,duration (ms)
default,84051
default,84769
default,82986
default,84841
default,84815
default,84653
default,85345
default,82964
default,84436
default,84010
default,85156
decimalgamma,95576
decimalgamma,100982
decimalgamma,97512
decimalgamma,100770
decimalgamma,98110
decimalgamma,100652
decimalgamma,100414
decimalgamma,95246
decimalgamma,97887
decimalgamma,98670
decimalgamma,98188
decimalgamma-loose,93457
decimalgamma-loose,93248
decimalgamma-loose,91005
decimalgamma-loose,92139
decimalgamma-loose,92912
decimalgamma-loose,91436
decimalgamma-loose,92668
decimalgamma-loose,91031
decimalgamma-loose,91694
decimalgamma-loose,91332
decimalgamma-loose,92383
