optimization,duration (ms)
decimalgamma,16459
decimalgamma,16221
decimalgamma,16560
decimalgamma,16346
decimalgamma,16208
decimalgamma,16479
decimalgamma,16428
decimalgamma,16754
decimalgamma,16583
decimalgamma,16345
decimalgamma,16206
decimalgamma-loose,14752
decimalgamma-loose,14608
decimalgamma-loose,14610
decimalgamma-loose,14739
decimalgamma-loose,14336
decimalgamma-loose,14826
decimalgamma-loose,14605
decimalgamma-loose,14541
decimalgamma-loose,14583
decimalgamma-loose,14417
decimalgamma-loose,14482
default,16198
default,15895
default,16019
default,16129
default,16192
default,16149
default,16373
default,16327
default,16021
default,16123
default,16268
