optimization,duration (ms)
decimalgamma,10198
decimalgamma,10507
decimalgamma,10392
decimalgamma,10469
decimalgamma,10416
decimalgamma,10566
decimalgamma,10641
decimalgamma,10375
decimalgamma,10387
decimalgamma,10531
decimalgamma,10596
decimalgamma-loose,10378
decimalgamma-loose,10468
decimalgamma-loose,10282
decimalgamma-loose,10128
decimalgamma-loose,10197
decimalgamma-loose,10344
decimalgamma-loose,10476
decimalgamma-loose,10545
decimalgamma-loose,10575
decimalgamma-loose,10535
decimalgamma-loose,10260
default,10268
default,10230
default,10319
default,10453
default,10507
default,10213
default,10656
default,10436
default,10318
default,10388
default,10304
