optimization,duration (ms)
decimalgamma,8518
decimalgamma,7960
decimalgamma,7831
decimalgamma,7763
decimalgamma,8146
decimalgamma,7926
decimalgamma,7702
decimalgamma,7910
decimalgamma,7845
decimalgamma,7880
decimalgamma,7967
decimalgamma-loose,7981
decimalgamma-loose,7891
decimalgamma-loose,7958
decimalgamma-loose,7736
decimalgamma-loose,8130
decimalgamma-loose,7849
decimalgamma-loose,8056
decimalgamma-loose,7816
decimalgamma-loose,7869
decimalgamma-loose,8061
decimalgamma-loose,8283
default,7837
default,7968
default,7947
default,8001
default,7836
default,7886
default,7926
default,7972
default,7782
default,7744
default,7854
