optimization,duration (ms)
decimalgamma,7636
decimalgamma,7743
decimalgamma,7886
decimalgamma,7727
decimalgamma,7659
decimalgamma,7669
decimalgamma,7617
decimalgamma,7731
decimalgamma,7755
decimalgamma,7788
decimalgamma,7654
decimalgamma-loose,7856
decimalgamma-loose,7672
decimalgamma-loose,7669
decimalgamma-loose,7797
decimalgamma-loose,7783
decimalgamma-loose,7868
decimalgamma-loose,7760
decimalgamma-loose,7704
decimalgamma-loose,7802
decimalgamma-loose,7877
decimalgamma-loose,7829
default,7928
default,7779
default,7811
default,7892
default,7875
default,7865
default,7891
default,7998
default,7765
default,7842
default,7881
